Region and State,Total,Inter-governmental,Direct: Total,Elementary and Secondary Education,Higher Education,Public Welfare,Health and hospitals,Highways,Police,All Other,Exhibit: Personal Income,year
Mississippi,23872.560709031997,0.0,23872.560709031997,4309.4219541102,2572.7480015849997,5423.9119826274,3988.5319755647997,1642.9019994558,673.55699942448,5261.4880213626,102317.4,2013
North Carolina,74438.473789148,0.0,74438.473789148,13421.961023876,9253.450951154,14091.2928537328,11599.7140545284,4069.1940448808,2742.59500368212,19260.2648410344,376392.4,2013
South Carolina,34797.53937968801,0.0,34797.53937968801,7669.195968246001,3696.7719533772,6207.133952324801,6378.2620433048005,1268.37400307692,1083.21299675528,8494.5890632632,171617.2,2013
Tennessee,42276.33612198,0.0,42276.33612198,8910.162039916799,3662.3159196497995,10354.964969246399,4032.8789225453997,2382.6320009847,1727.86801146606,11205.513025752598,256753.8,2013
Virginia,64836.015503034,1.31198126066,64834.701995373,15502.676980742599,7715.1511534686,10714.304083413499,5955.8618883303,4207.965193308601,2157.39198724578,18581.352154927103,401684.3,2013
West Virginia,14675.896236144,0.0,14675.896236144,3166.7000173920005,1683.8689800096001,3493.6109823168,725.4539844336,1183.1550136368,360.68599947312,4062.4209900336004,65572.8,2013
Arizona,42173.901069850006,0.0,42173.901069850006,7458.5510337085,5073.1881008809,8340.305966279098,3528.8010720907996,2269.6709980556698,2043.4310089234798,13459.952036778499,243752.3,2013
New Mexico,18059.28213258,0.0,18059.28213258,3470.1800042442,2333.6320244796,4027.375035333,1679.0069639538,1072.5609836526,651.82300328964,4824.704029353001,73561.8,2013
Oklahoma,27408.240594586,54.78600587178001,27353.453792616,5701.312960022801,3329.2729318492,6418.4729600318005,2164.2509399192004,2215.4009280846,886.5319966582401,6638.2109744206,169382.6,2013
Texas,185862.23253264002,0.0,185862.23253264002,45109.6776131015,24616.510447431498,30935.890429715502,19174.309356715003,12596.842677359,6659.7460321337,46769.2528955985,1184840.5,2013
Colorado,40441.514946273004,3.00500620245,40438.510813365,8197.2140352411,4662.5170724484,5890.5938800911,3818.4660099138005,2506.4770832103004,1636.12700782665,13727.115100851901,249512.7,2013
Idaho,10999.595752047,0.0,10999.595752047,1914.5510213246998,1046.0440243386,2422.697027067,1008.1139749883998,870.2289716769,400.58600230476,3337.3750106844,58403.7,2013
Montana,7891.040881425,0.0,7891.040881425,1640.6080025375002,809.7569909975,1389.8200144925,503.7699942275001,850.6660180625,298.03299816724996,2398.38699104,41322.5,2013
Utah,21525.944065027998,0.0,21525.944065027998,4466.2770077692,3571.1369999005997,3299.3880409775993,1682.1270272456,1578.7449601248,677.89300184242,6250.377037785399,106176.2,2013
Wyoming,8067.649921060999,6.26900085116,8061.380970194001,1659.2150066105999,733.2189863642999,812.8019852305999,1437.2719966879,740.8739979881,218.64900067052997,2459.350006014,31240.1,2013
California,358806.608021768,2775.7520359301,356030.854128637,64241.804883594,34461.989607488395,67127.8003649481,38886.7243217159,18253.36105562313,15090.872004480181,117968.30727666989,1857200.9,2013
Nevada,17820.031535715,1.7730022326,17818.259324550003,3854.3229524295,1223.858047068,2074.3989881999996,1260.7869504345,1675.8890160960002,1088.815995777,6640.1870449335,109870.5,2013
Oregon,35596.4893219,0.0,35596.4893219,5901.12304795,4076.7800639799993,6324.42004974,4079.83396678,2011.4329384500002,1121.289999908,12081.609036509999,156130.0,2013
Washington,57524.277161747006,4.4040120215,57519.871480907,11720.6620343139,6220.972874799801,8440.9100065686,7381.8090311464,4142.267852686,1753.00799022636,17860.241958176903,333763.7,2013
Alaska,13419.1490011,0.0,13419.1490011,2481.8910187,985.6979983939999,2002.8950150819999,687.770980646,1409.5080141400001,375.1070008482,5476.278813479999,38978.0,2013
Hawaii,12590.042219243998,0.38199827987999996,12589.660214712,1864.5249824207997,1410.7930037208,2183.6249969436,1082.8629950795998,690.2389871748001,384.49600182,4973.1189974676,62521.2,2013
Connecticut,35818.45617646,0.0,35818.45617646,8885.1169852642,2909.1559560074,6842.1909249144,2167.94299173814,2270.30799866488,1136.99198816956,11606.7489292152,236756.6,2014
Maine,11349.941126004,0.0,11349.941126004,2295.6120205668,807.5469956111999,3518.6080063836002,486.28700136276,858.6890041391999,262.7999993658,3120.3980203655997,55863.6,2014
Massachusetts,69603.52096395,0.16599700575,69603.35219430001,15229.63820028,4955.518136084999,18148.9219790075,2368.8090168199997,3513.511992031,2559.353005597,22827.6008288775,401832.5,2014
New Hampshire,9753.834674892,0.0,9753.834674892,2758.7269727555995,853.7299808268,1540.7399929152,162.85299906876,784.5209973215999,398.84899795355994,3254.4149878548,70501.2,2014
Rhode Island,9854.275196194,18.3380014191,9835.937220098,2290.2760138346,650.5979957817999,2537.4339773464,283.33400225746,475.6370007092,396.41800248005995,3202.2400048451996,50646.2,2014
Vermont,6769.324109016,0.0,6769.324109016,1555.0219962774001,765.7060016214,1738.092007827,354.1839866901,605.3529997557,206.12199945015,1544.8450117086,30195.9,2014
Delaware,9404.184817292,1.0030020486,9403.182181012,1908.2959868292,1226.6830163907998,2092.3800078372,562.6960044704,497.7580066372,343.14799809527995,2772.2209800192,43031.6,2014
District of Columbia,11788.187974793998,0.0,11788.187974793998,2428.9410049631997,151.038997839,3263.7330190404,650.234020554,400.86199911654006,604.6399793052,4288.738986721799,46780.2,2014
Maryland,55263.624617544,0.0,55263.624617544,12549.993145141201,6109.8859659348,11110.0331545476,2221.29500980212,3096.39799175826,2421.84199378758,17754.1769696466,322438.2,2014
New Jersey,88502.37966630701,18.99997918013,88483.38293487199,26103.926757509,6098.950889929,14185.7620294546,6110.6757653633995,5174.526119518399,3434.80798072509,27374.730763245498,515515.1,2014
New York,250109.254805876,0.0,250109.254805876,61113.9790157782,14975.792029898403,54779.2230170592,21408.3699971586,10545.61396631318,9386.34500905538,77899.935309518,1105907.8,2014
Pennsylvania,111517.694376768,141.40101608082,111376.296641808,26118.8961208218,9767.317841901,26658.592826598004,8279.2682611704,8575.674191699401,3545.25401759112,28431.292020051602,619079.4,2014
Illinois,110670.0661008,7.780998168000001,110662.28746559999,25898.090961600003,9424.59376968,20530.536983280002,4328.4200243039995,7782.115149359999,4934.274992856001,37764.25271064,638640.0,2014
Indiana,47983.49031888,3.65799137436,47979.831347424006,9622.987120299602,5808.227059458301,10709.435114974502,6091.4181101526,2495.2019893985403,1201.42499272047,12051.1369331955,272244.9,2014
Michigan,76359.821541126,12.670014150839998,76347.149800692,16343.3038577172,11015.5558788504,13887.7840252998,8494.73116551,3457.65400528836,2397.91701042462,20750.2038987036,411019.8,2014
Ohio,94958.52554061,15.806976506400002,94942.71557073598,21480.3470280372,9455.137765755,22918.387763385595,7807.253979333,5394.378184530599,3279.2540119156197,24607.9591825836,498894.6,2014
Wisconsin,49617.394918524,0.0,49617.394918524,10601.065068067399,6123.990957623199,11124.9729636,3558.7109766552003,4388.6049731165995,1764.4910084633398,12055.5600818938,258347.8,2014
